OTU_ID,Cd1,Cd2,Cd3,Cd4,Cd5,Cd6,Cd7,Cd8,Cd9,Cd10,Cd11,Cd12,Cd13,Cd14,Cd15,Cd16,Cd17,Cd18,Cd19,Cd20,Cd21,Cd22,Cd23,Cd24,Cd25,Cd26,Cd27,Cd28,Cd29,Cd30
OTU_786,0,0,0,0,0,0,8,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
OTU_2189,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,3,6
OTU_550,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1858,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,25,0,0,0,0,0,0,0,0,0,1
OTU_1343,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1294,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,12,6,1,7,0,0,0,0,0,0,1,1,0,0,2
OTU_1252,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
OTU_604,0,0,0,0,0,0,4,2,10,1,0,0,0,0,0,8,15,0,6,1,0,0,0,0,0,1,2,0,1,3
OTU_1752,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1
OTU_2338,0,0,0,0,0,0,2,2,0,1,0,0,0,0,2,1,1,3,0,0,0,0,0,0,0,0,2,0,0,2
OTU_1143,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU_2037,0,0,0,0,0,0,2,7,2,0,0,0,0,0,0,0,3,0,8,3,0,0,0,0,0,2,6,4,1,3
OTU_2132,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OTU_466,0,0,0,0,0,0,1,2,6,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1312,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
OTU_2530,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,12,0,0,0,0,0,0,0,0,0,0,0,0
OTU_2229,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1355,0,0,0,0,0,0,1,6,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1
OTU_1443,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_33,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,6,2,0,5,0,1,0
OTU_1361,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0
OTU_820,0,0,0,0,0,0,4,0,2,0,3,0,0,0,2,0,2,4,0,0,1,1,0,0,1,3,4,3,3,2
OTU_1266,0,0,0,0,0,0,4,3,1,0,1,0,0,0,0,1,2,4,4,0,0,0,0,0,0,0,2,0,1,1
OTU_1647,0,0,0,0,0,0,2,0,1,1,0,1,0,0,1,1,1,3,0,1,0,0,1,0,0,0,1,2,2,0
OTU_2343,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
OTU_1085,0,0,0,0,0,0,2,0,5,0,1,2,3,0,12,3,0,11,9,12,9,8,2,0,7,0,4,1,1,4
OTU_2283,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_796,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1
OTU_500,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_2221,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU_1671,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1
OTU_1218,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0
